neighbourhood,price,Category
Fort Wadsworth,800.0,Most Expensive
Woodrow,700.0,Most Expensive
Sea Gate,418.2307692307692,Most Expensive
Tribeca,381.10714285714283,Most Expensive
Flatiron District,367.4155844155844,Most Expensive
Briarwood,366.1621621621622,Most Expensive
Financial District,335.38505747126436,Most Expensive
Willowbrook,309.0,Most Expensive
Tottenville,309.0,Most Expensive
Prince's Bay,300.0,Most Expensive
South Beach,45.0,Least Expensive
Bull's Head,49.666666666666664,Least Expensive
Port Richmond,51.22222222222222,Least Expensive
Soundview,52.05555555555556,Least Expensive
New Brighton,52.25,Least Expensive
"Bay Terrace, Staten Island",55.0,Least Expensive
Hunts Point,56.583333333333336,Least Expensive
University Heights,57.82608695652174,Least Expensive
Grant City,58.4,Least Expensive
Olinville,59.42857142857143,Least Expensive
